respondent_id,h1n1_vaccine,seasonal_vaccine
26707,0.11286193551658627,0.33866753367382646
26708,0.08065984518365547,0.19631697519430635
26709,0.29434331523886864,0.5286032189273064
26710,0.4296536343534804,0.7873390178265253
26711,0.2674978350420069,0.5574505375109664
26712,0.3409351642094146,0.8443966882757271
26713,0.34755915317344166,0.37958428501665575
26714,0.12858478991726227,0.2467254540261894
26715,0.038390770318522116,0.16429582720330516
26716,0.12674004394260932,0.6765429671715849
26717,0.026553382200975268,0.4419942498320875
26718,0.17969891522201376,0.4785606493988068
26719,0.14528885228943936,0.8535601256867188
26720,0.11141148935985086,0.31989452776408267
26721,0.49774106884493086,0.7229300362727272
26722,0.06340210792643071,0.10258580775055173
26723,0.6727287971683835,0.7574055856415307
26724,0.10322091218874574,0.4055558121690571
26725,0.07247039401669784,0.13185471139075466
26726,0.03676376561037397,0.12375431794112729
26727,0.1932039071430089,0.5394467261064692
26728,0.21452579665370067,0.48307588878391294
26729,0.08767855508709502,0.4049724471116293
26730,0.08767855508709502,0.4049724471116293
26731,0.01770077468030683,0.23827617481548197
26732,0.21883508018641173,0.19794372391653536
26733,0.8378224343249947,0.9176047249711083
26734,0.862558121961032,0.5988959619738785
26735,0.10591887280836168,0.38185771454699274
26736,0.12464239226510587,0.34720373792561243
26737,0.09276364162949163,0.1432696551471288
26738,0.5685605546311906,0.8637235944145027
26739,0.11177124190448595,0.26039818288735705
26740,0.20038916999179965,0.2571154457397916
26741,0.17097446503776503,0.8523610811690727
26742,0.12464239226510587,0.4153707052148402
26743,0.0371538580932248,0.3212693563951739
26744,0.056122019281853584,0.5969371002323035
26745,0.13024455070076252,0.8422780158000099
26746,0.007855692191423149,0.0727525952090822
26747,0.09125061090375129,0.3222338288404146
26748,0.2367397651655371,0.26954590574262594
26749,0.12464239226510587,0.7388598548483255
26750,0.6143288956936034,0.832336870382414
26751,0.31147593729063083,0.6167325629760303
26752,0.05909329900921894,0.05895451586311719
26753,0.20470690615521603,0.4863758751622586
26754,0.19102648548035717,0.6990917413569367
26755,0.10258959705945495,0.25968664285769677
26756,0.029118328829832583,0.09818581767862457
26757,0.5307831357774399,0.7367682346005746
26758,0.63288718577863,0.7809746949589372
26759,0.05063826508476302,0.23264092905845232
26760,0.024372078424577916,0.16391670126019459
26761,0.22407230121986216,0.5898063535034639
26762,0.10248659666172541,0.628360051916022
26763,0.8567798284114091,0.9673565911291669
26764,0.8850281077279425,0.9476701949707332
26765,0.08640289866759347,0.7323247936184015
26766,0.17743820383940506,0.272929042161863
26767,0.7600277083924829,0.8253944967458259
26768,0.03395002917908153,0.6862085557638574
26769,0.17321785962424677,0.3546533591315468
26770,0.19923673940262734,0.697448504405345
26771,0.0915868567773332,0.17743908951915413
26772,0.08349470845761167,0.4419942498320875
26773,0.04332487333098058,0.6132413056609869
26774,0.064472734136157,0.5020789419678678
26775,0.10431680097054631,0.5295975048363208
26776,0.5182301118853834,0.5852939816523232
